id,price
54273,33657.42672234983
54274,22734.400132704875
54275,31528.408388120704
54276,67970.55316175858
54277,40315.7113004094
54278,86591.18529055268
54279,52163.69155255216
54280,35084.71582523768
54281,22142.15897810855
54282,53687.41076626163
54283,52132.75096348848
54284,16647.845497435424
54285,63857.94862601429
54286,43658.739718287135
54287,44252.161880929605
54288,75433.06525848247
54289,57243.920596215525
54290,45672.38310578815
54291,26127.19134404324
54292,63167.87316724891
54293,53721.632222140324
54294,-1886.292229850893
54295,44299.83503754623
54296,51378.27928274579
54297,20728.274754657876
54298,14520.70798928081
54299,27629.270128389588
54300,31532.38472084503
54301,63378.70575596101
54302,50559.56250371749
54303,63418.06054495508
54304,45499.52134467941
54305,54980.583320860635
54306,37016.34191343142
54307,37558.295358343865
54308,4373.262487032916
54309,38194.79474342684
54310,27257.746204918716
54311,53126.85567155224
54312,19993.750783140888
54313,21583.862946504843
54314,55631.87489271909
54315,85483.01436626259
54316,27802.41039909795
54317,63143.66768273665
54318,54241.70783638058
54319,10629.151062281453
54320,64249.535212448565
54321,44224.21929076407
54322,13265.987366433837
54323,40102.934518274735
54324,72034.20307509857
54325,64693.0797009971
54326,28538.738332040957
54327,51684.54426313378
54328,20962.845625074
54329,53860.446999456035
54330,19475.625266838237
54331,53256.22632099292
54332,23773.787217551726
54333,65148.09325790312
54334,48468.65351065807
54335,39267.653712700005
54336,25573.95535759139
54337,20159.798301007017
54338,68110.97243532678
54339,52931.27568663494
54340,18096.355339750415
54341,81334.06631057058
54342,67446.97243721923
54343,26760.089552873047
54344,96385.78615778405
54345,13320.320300764986
54346,52800.50931439246
54347,17776.983230835875
54348,33304.54798877938
54349,32797.93184149172
54350,66026.83058849827
54351,23068.956602510298
54352,46748.56875113235
54353,56269.35099812527
54354,39143.17552815832
54355,14563.248266258975
54356,57002.81962453679
54357,48329.41335451405
54358,54282.894629664836
54359,13278.05900793022
54360,46209.700080982875
54361,67709.65655968955
54362,56447.551190373604
54363,66495.95482937142
54364,15943.566886701272
54365,38846.05626676569
54366,71599.3475359932
54367,29287.53619444312
54368,33565.934927750146
54369,27852.90189672087
54370,34329.64733722643
54371,47029.417465677834
54372,61906.571396971936
54373,55294.93672278733
54374,26440.484844053513
54375,51552.23357003578
54376,34544.65241065342
54377,43105.678755553905
54378,39035.43058301066
54379,19184.448016623966
54380,13007.48964288435
54381,55427.20336140308
54382,18409.488382503507
54383,73961.23146873177
54384,32722.110509322258
54385,33180.490669707535
54386,-5622.001053037937
54387,13660.736736218212
54388,57244.52659423603
54389,1639.150490586646
54390,65497.13826003228
54391,9510.32290361647
54392,28944.73589415464
54393,16704.256174577284
54394,25727.87999485701
54395,42580.52376391657
54396,46997.95527379576
54397,63321.98345254024
54398,44361.94591419713
54399,59656.94151799299
54400,26468.253992291167
54401,52016.889956484316
54402,28982.12980503717
54403,52461.75729286461
54404,32101.64516323642
54405,23119.80371759378
54406,58125.15471293195
54407,2592.5139653589576
54408,46217.14017210191
54409,26978.51323728764
54410,50747.34734596161
54411,17726.48289263167
54412,68709.32497903076
54413,46079.754921239684
54414,31052.681023701094
54415,28239.23675119155
54416,70235.93754269555
54417,19377.49988217675
54418,9285.282315517892
54419,21674.41730147996
54420,64900.45716650458
54421,21711.848982830066
54422,37163.192241516896
54423,16835.837045637192
54424,46236.73421896575
54425,37025.40974994353
54426,32397.40854368289
54427,14274.993026506738
54428,4145.810322491452
54429,15353.568186997203
54430,22221.10610363027
54431,7873.472338093212
54432,24162.51640497404
54433,44782.55681848049
54434,49699.41946652578
54435,25988.953670228715
54436,51215.1214901763
54437,24189.737515624613
54438,54105.600914196926
54439,45473.13986613415
54440,41170.601850040955
54441,38427.43659355701
54442,43595.09997758886
54443,42706.72726398078
54444,19709.45432289061
54445,45746.48918289866
54446,36247.209049730795
54447,38132.4776773958
54448,31519.040817623143
54449,696.8315960844047
54450,37075.17836809612
54451,-5576.5470536676
54452,-4018.1578489335952
54453,28348.628483416163
54454,39483.502996841795
54455,16436.442614887143
54456,46978.58347597136
54457,47384.53031196189
54458,32022.54061233811
54459,50401.618104074034
54460,66202.79662879731
54461,22530.66568083968
54462,50801.75615809683
54463,50584.656926183496
54464,29094.837941198843
54465,61991.05076996761
54466,58470.338704960304
54467,52369.50726425811
54468,19463.05251559615
54469,39970.70392053947
54470,20966.097515201778
54471,56513.16673221055
54472,35893.29652833345
54473,32770.978936579195
54474,71216.2072743962
54475,36677.24101907376
54476,34882.64486435801
54477,39453.23970250611
54478,51286.04781103821
54479,37774.66959747439
54480,35802.24773568497
54481,18279.271005816176
54482,44399.7999291172
54483,45826.70257211791
54484,15002.952516664052
54485,40935.45523159986
54486,19466.582840320072
54487,42728.44327114127
54488,5928.288361203973
54489,31656.635337955086
54490,19181.484685900854
54491,15227.91945645737
54492,47972.25195324188
54493,87992.24393148441
54494,28045.05214693339
54495,49856.53303258435
54496,35395.50902001723
54497,50373.32211097656
54498,86419.15112415701
54499,50547.01969469874
54500,24856.00332419225
54501,19470.007633287925
54502,32201.08566198987
54503,60214.1032109349
54504,42649.772794343764
54505,39175.2834874558
54506,57571.86606247921
54507,54943.189592772396
54508,34543.330913096084
54509,49932.896805342985
54510,44509.57418572344
54511,24204.982417247258
